               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.039929,            0.052299,                   0,             0.94733,             0.94821,             0.97577,             0.51438,            0.040361,            0.053205,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.042593,            0.055852,                   0,             0.94733,             0.94821,             0.97577,             0.51438,            0.040361,            0.053205,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.042018,             0.06949,                   0,             0.94788,             0.95219,              0.9782,             0.54877,            0.036693,            0.052489,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.039884,            0.057514,                   0,             0.94788,             0.95219,              0.9782,             0.54877,            0.036693,            0.052489,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.040523,            0.071173,                   0,              0.9504,             0.95416,             0.97823,             0.52276,             0.04042,            0.054048,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03893,            0.060015,                   0,              0.9504,             0.95416,             0.97823,             0.52276,             0.04042,            0.054048,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.042767,            0.066839,                   0,             0.95251,             0.95897,             0.98068,             0.54318,            0.036566,            0.052736,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.040795,            0.064147,                   0,             0.95251,             0.95897,             0.98068,             0.54318,            0.036566,            0.052736,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.041129,            0.065059,                   0,             0.93465,             0.94622,             0.96994,             0.50285,            0.040607,            0.053364,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.040993,            0.060937,                   0,             0.93465,             0.94622,             0.96994,             0.50285,            0.040607,            0.053364,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.039347,            0.063434,                   0,              0.9508,             0.96241,             0.97811,             0.54723,            0.036238,            0.052272,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.038631,            0.062438,                   0,              0.9508,             0.96241,             0.97811,             0.54723,            0.036238,            0.052272,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.039204,            0.060466,                   0,              0.9564,             0.96134,             0.97784,             0.56318,            0.037229,            0.052265,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.042006,             0.06282,                   0,              0.9564,             0.96134,             0.97784,             0.56318,            0.037229,            0.052265,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.040359,             0.06985,                   0,             0.96191,             0.96614,             0.97991,             0.56323,            0.035512,            0.051669,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.035758,            0.064173,                   0,             0.96191,             0.96614,             0.97991,             0.56323,            0.035512,            0.051669,                   0,            0.002773,            0.002773,            0.002773
                 148,             0.04088,            0.066439,                   0,             0.96092,             0.96414,              0.9793,             0.57508,            0.035099,            0.051982,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.039392,            0.059381,                   0,             0.96092,             0.96414,              0.9793,             0.57508,            0.035099,            0.051982,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.038515,            0.074494,                   0,             0.96012,             0.96614,             0.98026,              0.5621,            0.035458,            0.051737,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.038952,            0.066064,                   0,             0.96012,             0.96614,             0.98026,              0.5621,            0.035458,            0.051737,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.035737,            0.058757,                   0,             0.95259,             0.96068,             0.97702,             0.56915,            0.035307,            0.051622,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.040061,            0.063219,                   0,             0.95259,             0.96068,             0.97702,             0.56915,            0.035307,            0.051622,                   0,            0.002476,            0.002476,            0.002476
